paymentId,FirstName,LastName,OrderDate,productName,PaymentMethod,status
1,Sara,Ahmed,2023-03-05,"Samsung Galaxy S23","Credit Card",Paid
2,John,Smith,2023-03-10,"Nike Air Max Shoes",PayPal,Paid
3,Maria,Lopez,2023-03-12,"Wooden Dining Table","Bank Transfer",Paid
5,Fatima,Sheikh,2023-03-22,"Dell XPS 13 Laptop",PayPal,Paid
6,Michael,Johnson,2023-03-25,"Canon EOS 90D Camera","Credit Card",Paid
7,Ayesha,Malik,2023-04-02,"Adidas T-Shirt","Bank Transfer",Paid
8,Robert,Williams,2023-04-08,"Samsung 55" Smart TV",PayPal,Paid
10,Usman,Raza,2023-04-18,"Rolex Submariner Watch",PayPal,Paid
11,Sophia,Martinez,2023-05-05,"HP LaserJet Printer","Credit Card",Paid
12,Amir,Hussain,2023-05-09,"Kitchen Blender","Bank Transfer",Paid
13,Olivia,Clark,2023-05-15,"Oppo Reno 8",PayPal,Paid
15,William,Jones,2023-05-23,"Apple MacBook Air M2",PayPal,Paid
16,Noor,Fatima,2023-06-03,"Gucci Handbag","Credit Card",Paid
17,James,Davis,2023-06-10,"Gaming Keyboard RGB","Bank Transfer",Paid
18,Khadija,Yousaf,2023-06-17,"Philips Air Fryer",PayPal,Paid
20,Ali,Khan,2023-07-05,"iPhone 14 Pro",PayPal,Paid
